,Food,Household_goods,Clothing_footwear_personalaccessory ,Department_stores,Other,Cafes_restaurants_takeaway_food_services,Total
Sep-2014,9353.8,4033.2,1691.2,1356.4,3262.1,3360.4,23057.2
Oct-2014,9964.4,4278.7,1791.5,1478.7,3417.8,3401.6,24332.7
Nov-2014,9911.1,4421.3,1821,1687.7,3577.5,3374.9,24793.5
Dec-2014,11271.6,5357.5,2907,2756.9,4440.3,3692.7,30425.9
Jan-2015,9955.4,4157.9,1796.2,1471.2,3152.6,3391.3,23924.6
Feb-2015,9020,3682.4,1456.2,1053.8,2999.9,3027.5,21239.9
Mar-2015,9926.5,3983.5,1702,1367.2,3243.1,3361.9,23584.2
Apr-2015,9538,3713.9,1793.4,1442.2,3058.8,3266.5,22812.9
May-2015,9707.1,3976.9,1891.2,1428.7,3214.7,3314,23532.6
Jun-2015,9217.8,4319.2,1774.7,1480.9,3243.5,3257.5,23293.5
Jul-2015,9718,4186.1,1788.5,1540.9,3337.2,3445.3,24015.9
Aug-2015,9834.8,4159.8,1697.1,1331.9,3379.5,3421.1,23824.2
Sep-2015,9645.8,4273.9,1790.1,1400.1,3454.5,3444.4,24008.9
Oct-2015,10319.2,4567.9,1888.5,1566.3,3579.5,3525.8,25447.3
Nov-2015,10128.5,4692.8,1915.6,1730.5,3824.9,3491.3,25783.5
Dec-2015,11731.2,5735.9,3079.9,2913.6,4642.5,3819.9,31923
Jan-2016,10244.9,4376.7,1875.7,1519.2,3304.9,3431.8,24753.1
Feb-2016,9556.9,3979.6,1598.7,1155.8,3257,3186.9,22734.9
Mar-2016,10354,4097.4,1780.6,1451.5,3398.6,3435.2,24517.3
Apr-2016,9727.9,4064.9,1924.6,1451,3355.8,3451.7,23975.9
May-2016,9815.2,4092.5,1926.7,1449.7,3428.5,3431,24143.5
Jun-2016,9516.5,4357.3,1967.1,1596.1,3414.4,3313.9,24165.3
Jul-2016,9928.5,4225.1,1876.1,1468.3,3492.7,3573,24563.7
Aug-2016,10041.9,4239.4,1806.3,1293.9,3562.3,3647.5,24591.3
Sep-2016,10005.7,4469,1896.8,1393.5,3602.3,3696.3,25063.6
Oct-2016,10482.6,4696.8,1937.8,1497.4,3643.2,3716.6,25974.6
Nov-2016,10435.7,4874.4,2057.1,1684.3,4051.1,3678.5,26781.1
Dec-2016,12230.1,5782.3,3330.5,2850.4,4859.6,4047.3,33100.2
Jan-2017,10431.5,4463.5,1939.7,1428.5,3421.5,3621.4,25306.2
Feb-2017,9574.6,3897.6,1558.9,1092.4,3230.8,3260.6,22615
Mar-2017,10510.3,4196.9,1826.7,1370.3,3590.4,3619,25113.5
Apr-2017,10274.1,3994.9,1885.8,1522.6,3338.8,3567,24583.1
May-2017,10189.7,4291,2024.2,1452.4,3577.3,3598.6,25133.2
Jun-2017,9857.6,4659.4,1988.3,1557.2,3560.8,3544.2,25167.5
Jul-2017,10272.8,4365.1,1896.4,1445.5,3600.7,3698.1,25278.6
Aug-2017,10363.7,4347.3,1839.3,1303.1,3710.9,3711.2,25275.4
Sep-2017,10307.9,4384.6,1891.6,1407.2,3627.8,3729.7,25348.7
Oct-2017,10710.9,4639,1948.2,1518.3,3709.6,3871.1,26397.1
Nov-2017,10780.7,5025,2139.4,1730.4,4203.7,3828.1,27707.3
Dec-2017,12552.1,5901.4,3297.7,2822.6,4890.3,4174.9,33639
Jan-2018,10713.3,4516.1,1967.4,1413.1,3587.3,3698.8,25896
Feb-2018,9833.2,4023.6,1632.2,1099.4,3334.5,3377.8,23300.7
Mar-2018,11188.4,4327.6,1884.8,1416.2,3651.9,3749.1,26218
Apr-2018,10354.1,4131.3,1913.2,1402.7,3402.6,3679.3,24883.3
May-2018,10645.2,4370.8,2123.9,1518,3629.7,3666.6,25954.1
Jun-2018,10268.2,4659.6,2099.3,1587.2,3611.7,3601.3,25827.2
Jul-2018,10604.4,4420.4,1918.7,1426.7,3721.4,3844,25935.6
Aug-2018,10852.2,4434.8,1919.5,1343.6,3882.2,3908.3,26340.6
Sep-2018,10713.8,4467.8,1915.4,1398.8,3704.7,3863.4,26063.9
Oct-2018,11126.1,4779.9,2082.5,1524.8,3965.3,3929.1,27407.7
Nov-2018,11214.7,5100,2268.7,1745.1,4346.5,3934.2,28609.2
Dec-2018,13037.6,5826.5,3351.8,2813.5,5053.1,4278.9,34361.4
Jan-2019,11253.8,4518.6,2027.6,1409.6,3711.7,3826.7,26748
Feb-2019,10308.6,4020.5,1690.8,1115.2,3458.1,3456,24049.2
Mar-2019,11405.1,4325.4,1970.6,1355.7,3706.7,3897.1,26660.6
Apr-2019,10964.8,4086.4,1996.7,1474.6,3606.5,3808.2,25937.2
May-2019,11024.2,4345.5,2167.9,1512,3829.4,3829,26708
Jun-2019,10587.6,4590.4,2134.9,1570.2,3722.7,3706,26311.9
Jul-2019,10949.7,4431.4,2005.3,1439.2,3873.3,3903.5,26602.4
Aug-2019,11294.6,4480.6,2030.1,1381.4,3969.8,3948.4,27104.8
Sep-2019,10946.6,4491.2,1981.3,1384.2,3853.6,3926.6,26583.6
Oct-2019,11565.4,4793.9,2126.9,1544.5,4069.3,4043.2,28143.2
Nov-2019,11643.3,5172.5,2404,1826.3,4408.9,4067.3,29522.2
Dec-2019,13292.7,6024.6,3474.3,2819.9,5191.2,4389.3,35192.1
Jan-2020,11576,4563.4,2086.8,1417.3,3789.7,3890.1,27323.3
Feb-2020,11064.6,4214.4,1718.2,1180.2,3629.8,3621.3,25428.4
Mar-2020,14310.5,4752.4,1452.4,1241.4,4395.4,3007.1,29159.2
Apr-2020,11652.9,4532.7,703.9,1177,3645.2,1907.9,23619.5
May-2020,12505.2,5607.6,1740.7,1697.2,4131.3,2499.1,28181.1
Jun-2020,11944.4,5756.6,2055.3,1557.7,4142.6,3111.8,28568.4
Jul-2020,12685.4,5764.9,2104.2,1528,4467.8,3458,30008.2
Aug-2020,12758.2,5336.9,1798,1236.8,4204.6,3229.6,28564.2
Sep-2020,12367.9,5272.7,1821.5,1360.2,4170.9,3342.5,28335.7
Oct-2020,13027.3,5565.9,2083.7,1562.4,4462.9,3615.8,30318
Nov-2020,12768,6525.9,2757.6,2070.7,5172.7,3805.6,33100.4
Dec-2020,14684.1,7065,3868.9,3012.7,5939.5,4260.1,38830.4
Jan-2021,12845.7,5447.4,2237.5,1514,4300.6,3783.9,30129
Feb-2021,11359.1,4879.3,1872.8,1197.7,4008.5,3440.4,26757.8
Mar-2021,12539.7,5337.3,2297.3,1600.2,4491.2,4044.9,30310.7
Apr-2021,11981.3,5011.2,2387.6,1596.8,4252.1,4017.5,29246.6
May-2021,12310.8,5249.2,2519.6,1602.1,4468,4043.1,30192.8
Jun-2021,11922.3,5551.9,2265.2,1560.2,4410.4,3696.9,29406.8
Jul-2021,12788.2,5199.7,1841.5,1313.9,4558.3,3447.7,29149.3
Aug-2021,12977.1,5057.1,1471.6,1032.5,4593.1,3219.9,28351.3
Sep-2021,12743.8,5330.7,1616.5,1137.6,4678.1,3369.8,28876.5
Oct-2021,13224,5907.5,2173.8,1493.4,4959.2,3916.1,31674.1
Nov-2021,12696,7018.2,3241,2106.2,5860.2,4222.7,35144.3
Dec-2021,15164.3,7442.1,4136.7,2765.5,6683.3,4580.5,40772.5
Jan-2022,13380.8,5722.6,2371.1,1446.9,4952.1,3997.3,31870.7
Feb-2022,11860.5,5279.2,2205.5,1259.6,4583.2,3995.3,29183.3
Mar-2022,13052.6,5875.3,2608.7,1599.3,5103.4,4554.2,32793.5
Apr-2022,13033.5,5463.1,2767.8,1725,4898.5,4610.4,32498.3
May-2022,12903.6,5769,2873.4,1767.6,5195.9,4748.9,33258.5
Jun-2022,12846.2,5621.84,2565.3,1559.68,4946.62,4381.22,31920.86
